index,function,size,latency_ms,execution_time_sec,type,status
1084,grayscale,large,2824.7,2.712901,cold,200
1085,pagerank,small,26.1,0.016181,warm,200
1086,pagerank,large,418.3,0.303019,warm,200
1087,fetchdata,large,79.1,0.075041,warm,200
1088,resnet,small,149.4,0.143747,warm,200
1089,fetchdata,large,82.1,0.077581,warm,200
1090,resnet,large,125.0,0.120428,warm,200
1091,resnet,medium,130.4,0.121157,warm,200
1092,resnet,small,126.3,0.121722,warm,200
1093,graphgen,small,1842.5,0.005509,warm,200
1094,graphgen,large,1365.1,0.100616,warm,200
1095,resnet,medium,145.0,0.140369,warm,200
1096,genmatrix,large,39.7,0.000803,warm,200
1097,matrixmul,large,24.0,0.007949,warm,200
1098,graphgen,medium,104.2,0.012305,warm,200
1099,pagerank,medium,102.9,0.072121,warm,200
1100,grayscale,medium,70.1,0.057915,warm,200
1101,genmatrix,large,53.6,0.001291,warm,200
1102,matrixmul,medium,525.4,0.511971,warm,200
1103,mobilenet,small,25.9,0.017781,warm,200
1104,graphgen,small,26.0,0.002854,warm,200
1105,mobilenet,medium,25.6,0.01774,warm,200
1106,mobilenet,medium,24.8,0.018016,warm,200
1107,genmatrix,medium,13.2,0.000289,warm,200
1108,resnet,small,192.0,0.186699,warm,200
1109,linpack,large,12.3,0.005078,warm,200
1110,linpack,large,12.3,0.005066,warm,200
1111,linpack,medium,652.4,0.645643,warm,200
1112,fetchdata,medium,134.8,0.130033,warm,200
1113,pagerank,large,390.9,0.291711,warm,200
1114,fastfouriertransform,medium,653.8,0.635748,warm,200
1115,genmatrix,medium,9.9,0.000202,warm,200
1116,fastfouriertransform,medium,620.9,0.602041,warm,200
1117,mobilenet,small,25.8,0.01799,warm,200
1118,fetchdata,small,89.9,0.083905,warm,200
1119,graphgen,medium,138.9,0.019728,warm,200
1120,matrixmul,large,18.2,0.005027,warm,200
1121,matrixmul,small,17.8,0.005029,warm,200
1122,fetchdata,medium,85.3,0.081019,warm,200
1123,resnet,large,152.6,0.147421,warm,200
1124,linpack,small,15.7,0.00809,warm,200
1125,fetchdata,medium,80.6,0.076265,warm,200
1126,pagerank,medium,92.9,0.06673,warm,200
1127,mobilenet,medium,61.5,0.055938,warm,200
1128,mobilenet,small,25.2,0.017725,warm,200
1129,fastfouriertransform,medium,644.7,0.631083,warm,200
1130,pagerank,medium,116.6,0.047234,warm,200
1131,genmatrix,small,5.3,0.000105,warm,200
1132,resnet,medium,140.1,0.134872,warm,200
1133,graphgen,small,26.8,0.002833,warm,200
1134,grayscale,medium,94.3,0.082829,warm,200
1135,resnet,large,126.5,0.121225,warm,200
1136,mobilenet,medium,29.6,0.024066,warm,200
1137,pagerank,small,19.4,0.010418,warm,200
1138,fastfouriertransform,medium,691.9,0.678212,warm,200
1139,fetchdata,medium,87.5,0.082542,warm,200
1140,linpack,medium,655.0,0.647815,warm,200
1141,linpack,small,12.2,0.005069,warm,200
1142,matrixmul,small,18.9,0.005036,warm,200
1143,resnet,large,153.8,0.148552,warm,200
1144,genmatrix,medium,13.6,0.000294,warm,200
1145,pagerank,medium,92.2,0.067365,warm,200
1146,fastfouriertransform,medium,655.8,0.642014,warm,200
1147,pagerank,medium,66.5,0.045393,warm,200
1148,pagerank,medium,66.0,0.045279,warm,200
1149,resnet,large,152.5,0.147696,warm,200
1150,resnet,small,125.7,0.121221,warm,200
1151,fetchdata,small,139.9,0.134979,warm,200
1152,matrixmul,medium,565.4,0.551321,warm,200
1153,linpack,large,16.4,0.008225,warm,200
1154,linpack,small,15.1,0.008029,warm,200
1155,genmatrix,large,53.7,0.001254,warm,200
1156,pagerank,medium,113.1,0.091159,warm,200
1157,pagerank,small,18.0,0.010098,warm,200
1158,graphgen,small,39.2,0.00443,warm,200
1159,fetchdata,large,81.2,0.07631,warm,200
1160,linpack,medium,692.8,0.68492,warm,200
1161,pagerank,medium,96.7,0.069181,warm,200
1162,fetchdata,large,80.5,0.075923,warm,200
1163,pagerank,small,18.9,0.010275,warm,200
1164,linpack,large,19.8,0.005314,warm,200
1165,linpack,small,12.5,0.005122,warm,200
1166,matrixmul,large,18.4,0.005055,warm,200
1167,grayscale,large,2814.5,2.704283,cold,200
1168,linpack,large,15.5,0.008129,warm,200
1169,pagerank,large,394.1,0.284498,warm,200
1170,mobilenet,large,23.2,0.018412,warm,200
1171,resnet,medium,169.5,0.164067,warm,200
1172,mobilenet,small,22.9,0.017964,warm,200
1173,linpack,medium,701.8,0.694102,warm,200
1174,fastfouriertransform,medium,767.4,0.68894,warm,200
1175,resnet,medium,134.0,0.127026,warm,200
1176,graphgen,large,523.3,0.088628,warm,200
1177,mobilenet,medium,23.0,0.018476,warm,200
1178,resnet,large,144.8,0.139362,warm,200
1179,genmatrix,large,39.7,0.000808,warm,200
1180,graphgen,large,486.7,0.064451,warm,200
1181,mobilenet,small,22.8,0.017807,warm,200
1182,pagerank,large,406.6,0.312054,warm,200
1183,resnet,medium,141.4,0.136475,warm,200
1184,fetchdata,large,137.0,0.131028,warm,200
1185,genmatrix,small,5.4,0.000103,warm,200
1186,resnet,large,125.1,0.120612,warm,200
1187,fastfouriertransform,small,22.2,0.005101,warm,200
1188,graphgen,medium,134.8,0.019261,warm,200
1189,linpack,medium,692.8,0.684777,warm,200
1190,fetchdata,medium,80.5,0.075419,warm,200
1191,genmatrix,medium,13.7,0.000295,warm,200
1192,pagerank,large,452.6,0.286462,warm,200
1193,mobilenet,large,30.2,0.023614,warm,200
1194,graphgen,large,515.0,0.094816,warm,200
1195,fetchdata,large,88.5,0.083561,warm,200
1196,genmatrix,large,39.4,0.000806,warm,200
1197,linpack,large,15.1,0.008053,warm,200
1198,mobilenet,large,23.2,0.018876,warm,200
1199,matrixmul,medium,563.8,0.549624,warm,200
1200,fetchdata,medium,80.7,0.076164,warm,200
1201,pagerank,medium,85.2,0.060186,warm,200
1202,pagerank,medium,185.6,0.097152,warm,200
1203,grayscale,large,2819.7,2.708211,cold,200
1204,mobilenet,small,40.3,0.031262,warm,200
1205,genmatrix,medium,10.4,0.000201,warm,200
1206,pagerank,medium,75.3,0.049431,warm,200
1207,genmatrix,medium,9.6,0.000203,warm,200
1208,grayscale,large,2794.3,2.681532,cold,200
1209,genmatrix,large,54.5,0.001226,warm,200
1210,mobilenet,medium,29.1,0.023451,warm,200
1211,mobilenet,medium,33.2,0.023294,warm,200
1212,pagerank,large,362.8,0.281897,warm,200
1213,grayscale,medium,68.5,0.057761,warm,200
1214,fastfouriertransform,large,22.1,0.004983,warm,200
1215,pagerank,medium,72.9,0.047118,warm,200
1216,matrixmul,medium,566.6,0.553095,warm,200
1217,fetchdata,medium,125.5,0.120487,warm,200
1218,graphgen,medium,106.0,0.012513,warm,200
1219,fastfouriertransform,medium,691.3,0.677197,warm,200
1220,mobilenet,large,28.7,0.023204,warm,200
1221,grayscale,large,2792.6,2.681598,cold,200
1222,mobilenet,small,27.6,0.022774,warm,200
1223,genmatrix,large,39.7,0.000845,warm,200
1224,grayscale,large,2799.4,2.686774,cold,200
1225,grayscale,small,1746.3,0.006927,warm,200
1226,fastfouriertransform,large,25.8,0.00784,warm,200
1227,resnet,small,161.5,0.152092,warm,200
1228,genmatrix,small,6.3,0.000167,warm,200
1229,pagerank,small,27.1,0.016797,warm,200
1230,genmatrix,small,6.6,0.000149,warm,200
1231,fastfouriertransform,medium,704.0,0.690624,warm,200
1232,linpack,large,11.7,0.005102,warm,200
1233,mobilenet,small,28.9,0.023474,warm,200
1234,fetchdata,small,79.7,0.075013,warm,200
1235,pagerank,small,26.1,0.015066,warm,200
1236,matrixmul,large,24.8,0.007946,warm,200
1237,mobilenet,medium,29.0,0.022904,warm,200
1238,genmatrix,medium,13.6,0.00029,warm,200
1239,linpack,medium,761.4,0.685081,warm,200
1240,graphgen,small,38.2,0.004499,warm,200
1241,resnet,small,125.9,0.121151,warm,200
1242,pagerank,large,437.0,0.288257,warm,200
1243,graphgen,small,26.3,0.003003,warm,200
1244,matrixmul,small,23.9,0.007938,warm,200
1245,graphgen,medium,105.7,0.013586,warm,200
1246,mobilenet,small,22.4,0.017596,warm,200
1247,grayscale,small,12.0,0.006861,warm,200
1248,graphgen,medium,135.2,0.019626,warm,200
1249,resnet,large,126.3,0.120945,warm,200
1250,fastfouriertransform,medium,721.0,0.703163,warm,200
1251,grayscale,medium,68.2,0.057534,warm,200
1252,pagerank,large,387.8,0.289884,warm,200
1253,mobilenet,small,22.7,0.017944,warm,200
1254,pagerank,medium,90.7,0.066193,warm,200
1255,grayscale,small,16.4,0.010733,warm,200
1256,fastfouriertransform,medium,690.4,0.676415,warm,200
1257,fetchdata,large,138.5,0.133106,warm,200
1258,mobilenet,large,29.7,0.023315,warm,200
1259,grayscale,large,2834.9,2.721748,cold,200
1260,fetchdata,small,88.2,0.0837,warm,200
1261,linpack,medium,690.7,0.683178,warm,200
1262,resnet,large,181.1,0.175729,warm,200
1263,genmatrix,small,5.6,0.000107,warm,200
1264,resnet,large,125.8,0.121067,warm,200
1265,matrixmul,medium,552.7,0.539185,warm,200
1266,pagerank,medium,150.8,0.125539,warm,200
1267,fastfouriertransform,medium,687.1,0.673439,warm,200
1268,fastfouriertransform,small,18.1,0.004994,warm,200
1269,fetchdata,medium,89.5,0.084685,warm,200
1270,linpack,small,15.0,0.007575,warm,200
1271,graphgen,medium,104.4,0.01267,warm,200
1272,matrixmul,small,23.9,0.007963,warm,200
1273,mobilenet,medium,28.2,0.022579,warm,200
1274,linpack,medium,695.9,0.688762,warm,200
1275,resnet,large,131.1,0.126211,warm,200
1276,resnet,small,124.9,0.120065,warm,200
1277,grayscale,large,2816.6,2.703206,cold,200
1278,linpack,large,12.3,0.005082,warm,200
1279,genmatrix,small,5.4,0.000109,warm,200
