entity_id,state,last_changed
sensor.bandeau_d_alimentation_antela_puissance,65.2,2026-07-24T08:32:08.070Z
sensor.bandeau_d_alimentation_antela_puissance,62.8,2026-07-24T08:32:13.017Z
sensor.bandeau_d_alimentation_antela_puissance,63.5,2026-07-24T08:32:18.171Z
sensor.bandeau_d_alimentation_antela_puissance,65.3,2026-07-24T08:32:23.233Z
sensor.bandeau_d_alimentation_antela_puissance,62.5,2026-07-24T08:32:28.202Z
sensor.bandeau_d_alimentation_antela_puissance,63.8,2026-07-24T08:32:33.126Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-24T08:32:38.164Z
sensor.bandeau_d_alimentation_antela_puissance,64.0,2026-07-24T08:32:43.134Z
sensor.bandeau_d_alimentation_antela_puissance,68.6,2026-07-24T08:38:12.571Z
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:38:17.557Z
sensor.bandeau_d_alimentation_antela_puissance,65.7,2026-07-24T08:38:22.484Z
sensor.bandeau_d_alimentation_antela_puissance,66.3,2026-07-24T08:38:27.645Z
sensor.bandeau_d_alimentation_antela_puissance,65.4,2026-07-24T08:38:32.592Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-24T08:38:37.572Z
sensor.bandeau_d_alimentation_antela_puissance,66.3,2026-07-24T08:38:42.643Z
sensor.bandeau_d_alimentation_antela_puissance,68.7,2026-07-24T08:38:47.579Z
sensor.bandeau_d_alimentation_antela_puissance,67.6,2026-07-24T08:38:52.495Z
sensor.bandeau_d_alimentation_antela_puissance,65.8,2026-07-24T08:39:02.723Z
sensor.bandeau_d_alimentation_antela_puissance,67.8,2026-07-24T08:39:07.626Z
sensor.bandeau_d_alimentation_antela_puissance,69.1,2026-07-24T08:39:12.603Z
sensor.bandeau_d_alimentation_antela_puissance,65.5,2026-07-24T08:39:17.680Z
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:39:22.627Z
sensor.bandeau_d_alimentation_antela_puissance,66.8,2026-07-24T08:39:27.578Z
sensor.bandeau_d_alimentation_antela_puissance,69.1,2026-07-24T08:39:32.686Z
sensor.bandeau_d_alimentation_antela_puissance,68.9,2026-07-24T08:39:37.648Z
sensor.bandeau_d_alimentation_antela_puissance,66.5,2026-07-24T08:39:42.718Z
sensor.bandeau_d_alimentation_antela_puissance,68.4,2026-07-24T08:39:47.465Z
sensor.bandeau_d_alimentation_antela_puissance,69.4,2026-07-24T08:39:52.544Z
sensor.bandeau_d_alimentation_antela_puissance,66.7,2026-07-24T08:39:57.710Z
sensor.bandeau_d_alimentation_antela_puissance,67.0,2026-07-24T08:40:02.672Z
sensor.bandeau_d_alimentation_antela_puissance,67.4,2026-07-24T08:40:07.574Z
sensor.bandeau_d_alimentation_antela_puissance,68.3,2026-07-24T08:40:12.703Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-24T08:40:17.586Z
sensor.bandeau_d_alimentation_antela_puissance,68.5,2026-07-24T08:40:22.671Z
sensor.bandeau_d_alimentation_antela_puissance,69.5,2026-07-24T08:40:27.762Z
sensor.bandeau_d_alimentation_antela_puissance,70.8,2026-07-24T08:40:32.679Z
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:40:37.573Z
sensor.bandeau_d_alimentation_antela_puissance,69.9,2026-07-24T08:40:42.650Z
sensor.bandeau_d_alimentation_antela_puissance,67.9,2026-07-24T08:40:47.626Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-24T08:40:52.841Z
sensor.bandeau_d_alimentation_antela_puissance,70.5,2026-07-24T08:40:57.690Z
sensor.bandeau_d_alimentation_antela_puissance,66.7,2026-07-24T08:41:02.780Z
sensor.bandeau_d_alimentation_antela_puissance,69.6,2026-07-24T08:41:07.716Z
sensor.bandeau_d_alimentation_antela_puissance,69.7,2026-07-24T08:41:12.686Z
sensor.bandeau_d_alimentation_antela_puissance,66.3,2026-07-24T08:41:17.740Z
sensor.bandeau_d_alimentation_antela_puissance,69.2,2026-07-24T08:41:22.707Z
sensor.bandeau_d_alimentation_antela_puissance,67.1,2026-07-24T08:41:27.683Z
sensor.bandeau_d_alimentation_antela_puissance,65.8,2026-07-24T08:41:32.787Z
sensor.bandeau_d_alimentation_antela_puissance,68.8,2026-07-24T08:41:37.799Z
sensor.bandeau_d_alimentation_antela_puissance,67.3,2026-07-24T08:41:42.859Z
sensor.bandeau_d_alimentation_antela_puissance,69.3,2026-07-24T08:41:47.768Z
sensor.bandeau_d_alimentation_antela_puissance,69.8,2026-07-24T08:41:52.673Z
sensor.bandeau_d_alimentation_antela_puissance,68.5,2026-07-24T08:41:57.799Z
sensor.bandeau_d_alimentation_antela_puissance,66.7,2026-07-24T08:42:02.894Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-24T08:42:07.784Z
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:42:12.743Z
sensor.bandeau_d_alimentation_antela_puissance,67.3,2026-07-24T08:42:17.712Z
sensor.bandeau_d_alimentation_antela_puissance,67.1,2026-07-24T08:42:22.774Z
sensor.bandeau_d_alimentation_antela_puissance,66.7,2026-07-24T08:42:27.904Z
sensor.bandeau_d_alimentation_antela_puissance,69.1,2026-07-24T08:42:32.832Z
sensor.bandeau_d_alimentation_antela_puissance,67.6,2026-07-24T08:42:37.796Z
sensor.bandeau_d_alimentation_antela_puissance,67.3,2026-07-24T08:42:42.857Z
sensor.bandeau_d_alimentation_antela_puissance,69.4,2026-07-24T08:42:47.836Z
sensor.bandeau_d_alimentation_antela_puissance,65.7,2026-07-24T08:42:52.703Z
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:42:57.834Z
sensor.bandeau_d_alimentation_antela_puissance,66.2,2026-07-24T08:43:02.796Z
sensor.bandeau_d_alimentation_antela_puissance,68.2,2026-07-24T08:43:07.823Z
sensor.bandeau_d_alimentation_antela_puissance,66.3,2026-07-24T08:43:12.800Z
sensor.bandeau_d_alimentation_antela_puissance,67.2,2026-07-24T08:43:17.786Z
sensor.bandeau_d_alimentation_antela_puissance,66.5,2026-07-24T08:43:22.870Z
sensor.bandeau_d_alimentation_antela_puissance,69.8,2026-07-24T08:43:27.818Z
sensor.bandeau_d_alimentation_antela_puissance,65.1,2026-07-24T08:43:32.926Z
sensor.bandeau_d_alimentation_antela_puissance,68.8,2026-07-24T08:43:37.857Z
sensor.bandeau_d_alimentation_antela_puissance,65.9,2026-07-24T08:43:42.948Z
sensor.bandeau_d_alimentation_antela_puissance,66.5,2026-07-24T08:43:47.796Z
sensor.bandeau_d_alimentation_antela_puissance,68.3,2026-07-24T08:43:52.857Z
sensor.bandeau_d_alimentation_antela_puissance,66.8,2026-07-24T08:43:57.851Z
sensor.bandeau_d_alimentation_antela_puissance,66.3,2026-07-24T08:44:02.887Z
sensor.bandeau_d_alimentation_antela_puissance,70.0,2026-07-24T08:44:07.867Z
sensor.bandeau_d_alimentation_antela_puissance,66.8,2026-07-24T08:44:12.955Z
sensor.bandeau_d_alimentation_antela_puissance,65.4,2026-07-24T08:44:18.017Z
