function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
textsort1,medium,1.5,512,0.014966,.014972,643,639,638.471000,.529000,134.700000,133.706600,.993400,10
textsort1,large,1.5,512,0.069516,.069521,643,639,638.471000,.529000,138.400000,131.426800,6.973200,10
trigger,small,1.5,512,0.000046,.005079,718,703,702.653000,.347000,129.000000,128.536600,.463400,10
trigger,medium,1.5,512,0.000047,.019958,718,703,702.653000,.347000,126.100000,124.774400,1.325600,10
trigger,large,1.5,512,0.000048,.109222,718,703,702.653000,.347000,133.500000,125.618600,7.881400,10
aggregate_lines,small,2.0,128,0.010002,.010011,633,590,589.95970726013183594000,.04029273986816406000,122.000000,121.952293,.047707,10
aggregate_lines,medium,2.0,128,0.039779,.039766,633,590,589.95970726013183594000,.04029273986816406000,113.900000,113.824446,.075554,10
aggregate_lines,large,2.0,128,0.218306,.218293,633,590,589.95970726013183594000,.04029273986816406000,132.300000,131.061941,1.238059,10
encrypt,small,2.0,128,0.009564,.012804,694,2494,681.445000,1812.555000,1946.500000,129.332900,1817.167100,10
encrypt,medium,2.0,128,0.038175,.050950,694,2494,681.445000,1812.555000,7587.500000,127.915100,7459.584900,10
encrypt,large,2.0,128,0.209836,.111934,694,2494,681.445000,1812.555000,20389.000000,3788.871000,16600.129000,10
merge_aggregate,small,2.0,128,0.009946,.028887,1144,677,657.977000,19.023000,145.900000,121.658900,24.241100,10
merge_aggregate,medium,2.0,128,0.039701,.115290,1144,677,657.977000,19.023000,446.900000,130.279000,316.621000,10
merge_aggregate,large,2.0,128,0.218228,.633707,1144,677,657.977000,19.023000,9667.400000,140.145400,9527.254600,10
single_string,small,2.0,128,0.028827,.009616,847,672,670.992000,1.008000,126.200000,124.680300,1.519700,10
single_string,medium,2.0,128,0.115230,.038226,847,672,670.992000,1.008000,119.300000,110.914400,8.385600,10
single_string,large,2.0,128,0.633647,.209888,847,672,670.992000,1.008000,176.800000,134.347300,42.452700,10
text_data_gen,small,2.0,128,0.000048,.005038,639,626,623.574000,2.426000,129.800000,128.607500,1.192500,10
text_data_gen,medium,2.0,128,0.000049,.019916,639,626,623.574000,2.426000,135.000000,128.528600,6.471400,10
text_data_gen,large,2.0,128,0.000050,.109179,639,626,623.574000,2.426000,154.800000,130.132500,24.667500,10
text_sort,small,2.0,128,0.004988,.024032,657,667,666.739000,.261000,125.500000,125.181800,.318200,10
text_sort,medium,2.0,128,0.019865,.095843,657,667,666.739000,.261000,132.300000,130.968500,1.331500,10
text_sort,large,2.0,128,0.109129,.526712,657,667,666.739000,.261000,152.800000,144.340100,8.459900,10
textsort1,small,2.0,128,0.010007,.010013,611,665,664.059000,.941000,124.400000,123.575600,.824400,10
textsort1,medium,2.0,128,0.014966,.014971,611,665,664.059000,.941000,125.500000,124.313000,1.187000,10
textsort1,large,2.0,128,0.069516,.069521,611,665,664.059000,.941000,140.200000,132.959300,7.240700,10
trigger,small,2.0,128,0.000046,.005080,716,641,640.354000,.646000,120.200000,119.813500,.386500,10
trigger,medium,2.0,128,0.000047,.019958,716,641,640.354000,.646000,130.600000,129.113300,1.486700,10
trigger,large,2.0,128,0.000048,.109222,716,641,640.354000,.646000,127.800000,119.400200,8.399800,10
aggregate_lines,small,2.0,256,0.010002,.010012,643,668,667.965667724609375000,.034332275390625000,122.200000,122.153366,.046634,10
aggregate_lines,medium,2.0,256,0.039779,.039766,643,668,667.965667724609375000,.034332275390625000,130.100000,129.967011,.132989,10
