function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
aggregator,medium,1.0,512,0.000923,.000968,629,487,486.96000,.04000,100.500000,100.445400,.054600,10
aggregator,large,1.0,512,0.000925,.000968,629,487,486.96000,.04000,107.600000,107.539400,.060600,10
cosine,small,1.0,512,0.000030,.000106,633,677,498.744000,178.256000,334.600000,109.771300,224.828700,10
cosine,medium,1.0,512,0.000031,.000108,633,677,498.744000,178.256000,900.400000,113.884200,786.515800,10
cosine,large,1.0,512,0.000031,.000108,633,677,498.744000,178.256000,1875.600000,118.804200,1756.795800,10
factors,small,1.0,512,0.000028,.000091,1107,600,599.975000,.025000,123.400000,123.365800,.034200,10
factors,medium,1.0,512,0.000031,.000193,1107,600,599.975000,.025000,121.400000,117.548100,3.851900,10
factors,large,1.0,512,0.000028,.000090,1107,600,599.975000,.025000,130.400000,130.360000,.040000,10
fast_fourier_transform,small,1.0,512,0.193513,.000262,658,798,793.063000,4.937000,341.200000,330.596500,10.603500,10
fast_fourier_transform,medium,1.0,512,0.193516,.000263,658,798,793.063000,4.937000,695.600000,287.279600,408.320400,10
fast_fourier_transform,large,1.0,512,0.193513,.000263,658,798,793.063000,4.937000,349.500000,341.383600,8.116400,10
gen_int,small,1.0,512,0.000041,.000091,673,851,839.151000,11.849000,314.400000,306.776600,7.623400,10
gen_int,medium,1.0,512,0.000041,.000090,673,851,839.151000,11.849000,324.900000,312.495200,12.404800,10
gen_int,large,1.0,512,0.000043,.000091,673,851,839.151000,11.849000,315.500000,307.808400,7.691600,10
gen_list,small,1.0,512,0.000041,.193575,686,886,857.733000,28.267000,369.900000,360.444000,9.456000,10
gen_list,medium,1.0,512,0.000041,.193575,686,886,857.733000,28.267000,344.700000,338.253600,6.446400,10
gen_list,large,1.0,512,0.000042,.193575,686,886,857.733000,28.267000,355.200000,346.748000,8.452000,10
gen_matrix_a,small,1.0,512,0.000041,.023843,678,751,737.615000,13.385000,347.700000,340.607800,7.092200,10
